"ID","string","score"
"R/548c0eb57c116522da98c8c745f8d","Feeling shitty I wish I had someone here to tell everything to",0
"R/548693e1f3081e6ac56c3a147df1b","How do you want to die? I want death to take less than a minute from onset but have may a minute or two warning beforehand.",0
"R/5471750a789089d39eb9c2e1b8384","I'm sleeping next to this amazing guy and we got so perfectly. But I can't tell him because he's scared of feeling perfect with me :/",0
"R/547bbc38d13e028868d899c359d74","90% sure my shitty suitemates took my room key and hid it on me just to spite me.",0
"R/54895467dc177fca4dd7959df9547","Lol Akpsi is clearly a joke. Keep deluding yourselves guys",0
"R/54829c9b2d6eb38f1859d1a618241","Sigh...",0
"R/5489fdf28b3303e5aee908c2c6d5d","How are people studying for Geiger's orgo exam? Tips? 50 multiple choice questions. ",0
"R/54750905284900596617090137197","The driver on the westbury bus is the shit 😍",0
"R/5475713c635c87eb3fb7c9a6d0954","So I'm a college kid home on break. Is yak here good? ",0
"R/54739eb669f16e12eb88a7ba16fb3","Live each day like it was your last! ",0
"R/547eab5eea4fc266e26cd09385d34","I just want to destroy myself all the time and now I remember why",0
"R/547e9ed1bd2a20137791b69ac5aad","They should rename trivia who can hide their phone the best",0
"R/5489c37c697eebea48b876570378e","What did people think of baker's exam?",0
"R/547603b89f1d1b0bd9cacab8728f5","Who's at the Union?",0
"R/547c1d0d54915fcf39416bd9be658","If you're up and able to watch The Babadook. ",0
"R/547e91f11ffb241a9ebf570bce1d4","Happy chrimbus",0
"R/5486cc22985885f803e65241b4dde","No amount of adderall can confidently get me through these finals ",0
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??",0
"R/54761989ee488d1660467638b6784","Kegger at lous",0
"R/548bece0e71f79ea22db192eb3c48","Ugh sex",0
"R/547394372d16c6c0e162c4f10e5b9","Is the breaded chicken back at south side??",0
"R/5485c13a0757c68a494837a8eb45f","I am the definition of a wreck right now. ",0
"R/547ea7871a1e267555b27e98a999b","Guys the annex was totally legal",0
"R/54875f844c61eb61fd30d459d164c","Squirrels will be squirrels I whisper to myself as his motorcycle fades into the sunset.",0
"R/5489c638d65cdbd8e4dd8c1c5ce00","That study animation when refreshing yaks is on point. It's unfortunate that I'm spending all my time playing with that and reading yaks instead of studying...",0
"R/547574da3ecfba2ad79b6c1bc1eec","Will bank street café be open tomorrow?",0
"R/547d2241b9163313d8ff00779cde2","Going through yik yak looking for other thirsty yakkers and finding none <<<<<",0
"R/548aa3160456717a712511a39f051","I miss LikeALittle. The Omegle college chat thing just isn't the same.",0
"R/54732e8cbf9756d0cfdcecc0ee5f7","Really don't wanna take this accounting test ",0
"R/548a5eaf4e453003b89e41cee6510","Is anyone actually fully prepared for logic tomorrow or....",0
"R/54761989ee488d1660467638b6784","Kegger at lous",0
"R/5474eb68e507c9b0b4ca32f8576fb","Anyone wanna trade a 6:00 westbury bus ticket for a 6:00 huntington bus ticket??",0
"R/548a62387001ed06e7ac8513c577d","Dellavedova is easily the best player in the NBA#mvp",0
"R/54875bc622fe9ea97489a1fcd166b","*U Guessed it piano intro*",0
"R/5477e1d630b7d932840c09134ff59","how wanna fuck? (; ",0
"R/5480b9055d95ff2b601ede0c7f13c","You got me hella high girl",0
"R/54893845476539cd87a9aea67a112","Pretty sure all my friends hate me ",0
"R/5481417d0a7e18f36dfbb97c4265f","What the hell is that noise",0
"R/548a1c6dace81bbcd424e3dd06d64","If you haven't spent 6 hours at Kelly's..you aren't doing Geneseo right #finalsweek ",0
"R/548c43b9320fc9b007f1c38553ff8","Partied all night but alas it is time to go to bed. See you later Netflix i enjoyed the night! ",0
"R/547f7688331a0ed626662139925ff","Someone help me with R please??? ",0
"R/54839d7eae0aebb89f7dcce09d1f7","The classic getting a meal that you have been meaning to for two hours because the fire alarm kicks you out",0
"R/547574da3ecfba2ad79b6c1bc1eec","Will bank street café be open tomorrow?",0
"R/5475daceeea48a3e4792b3359dd74","Dedication is driving to work with a flat tire so you can get to work on time...",0
"R/5485fe8a7413c342844d4876138e0","I love the ethnic people cooking stir fry because they actually know how to cook it",0
"R/5484461c931a1b24526d4a34d450a","Whoever threw up on the floor in the bathroom in daga 2 south fuck you. I walked into your goddamn vomit. ",0
"R/5477e50320fdebe9b288c9ab833f1","Wish I didn't lose all my contacts now I can't text my fuck buddy",0
"R/5473ca27795e0c0aecbf133673f14","Anyone gonna go to Bouchers class tomorrow?",0
"R/547d5a657ae1fa844b95611bf9ce0","Waiting for everyone in your room to go to sleep so you can poop in peace ",0
"R/547ce0bb6df744932ea9e87d18243","We just need a new Milne ",0
"R/5475713c635c87eb3fb7c9a6d0954","So I'm a college kid home on break. Is yak here good? ",0
"R/5477e1d630b7d932840c09134ff59","how wanna fuck? (; ",0
"R/547503f2859b965c4bc71cf45e8a4","CANT STOP THE BUS #GOBBLE",0
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??",0
"R/54728402ef1dbd5279f287aa6bee6","Anyone know the name of the red head girl who works at southside",0
"R/5482b712eb962720c5506465dd85e","Any girl on south side wanna come cuddle ",0
"R/54829b87588fbf6134985a60d8e3c","I can't go out alone any girls out there?",0
"R/5480731432ae67638b82317e28ed8","Girl on the brain grades down the drain",0
"R/54810a9546ada1801aceac4dd033f","You better ask me now it's /Thursday/",0
"R/54734775425a22637eec493e8fd68","Shout out to padalino for making me look like an idiot ",0
"R/548942514378d537a6832785f6044","Has anyone here ever gotten academic probation?",0
"R/548c9b1dd72029fe2efc04a12c30f","I hate my housemates. ",0
"R/547e6446df0399d180ecb11e6a128","Egalitarianism not feminism ",0
"R/5475eb6f3341a00cf9edd4b52876d","Where can I find a printer to print out my bus ticket? ",0
"R/5476b759d8839ea3c539eb7b2ee8b","Has anyone ever successfully met up with someone from a yak?",0
"R/5474b6907212b177cbccd269b037b","Black Friday should be called Brown Friday since everyone will be pooping the meals from the day before 💩",0
"R/5482c26967f1b5f1653ac05beb7ad","Best adderall sex u ever had rn come thru!",0
"R/548b72624b17a12284174eeeb21a7","Can someone tell me what quality points are in terms of Final Grades? Apparently I got 9.9 quality points for human geography?",0
"R/5478aa2e9adc581c50fe442ff3e5a","I don't know how much more I can binge drink for but I'm going to keep trying ",0
"R/548a92304e50185fdc9d397c7064e","I don't get why people are so against hazing. As long as it is not excessive hazing builds group solidarity and the hazee feels accomplished when he completes the hazing and gets into the group.",0
"R/548c9ed0b643955d26801b390d071","So this guy just gave me his number and said anytime I need alcohol to text him. We talk casually and infrequently mostly about school work. If he was interested he woulda made a move by now right? ",0
"R/5473f3c6b25dbd22efe9bbdae8f7f","Here's a haiku about fangirls I wrote: No you can not budge. Can you please go back in line? You're my worst nightmare. ",0
"R/548693e1f3081e6ac56c3a147df1b","How do you want to die? I want death to take less than a minute from onset but have may a minute or two warning beforehand.",0
"R/5477e1d630b7d932840c09134ff59","how wanna fuck? (; ",0
"R/548ce4c3d8e50ea24858c76a33d08","My friends are fucking dicks. ",0
"R/5476d016cbb5682e7ffbcd869d638","Any guys looking to hook up with another guy? ",0
"R/547d2241b9163313d8ff00779cde2","Going through yik yak looking for other thirsty yakkers and finding none <<<<<",0
"R/5482b9382b4979a0546e727b639ab","An alternative to the IB for overs #backshots",0
"R/548ad154d0752421f14b270d3670a","last Friday of the semester. thank you Jesus.",0
"R/5484917c8a0d1b9026b9b73fe4985","Thank you to everyone who put together the holiday jubilee <3",0
"R/54761989ee488d1660467638b6784","Kegger at lous",0
"R/54828b13e939ca15fe0e3d4933ed8","I need some real honest unbiased advice right now ",0
"R/547503f2859b965c4bc71cf45e8a4","CANT STOP THE BUS #GOBBLE",0
"R/5470fe655fa0840cb914186c52bb1","Its so cold in my house I'm actively steaming",0
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??",0
"R/5489cd8154ff5eabf79ff64dc0f0b","How do i call out from an office phone here",0
"R/54871f598c09b511fa23b1d9c7fc9","Anyone know what room pawlikowskis review is in?",0
"R/548a94d6c111d398a0e222518dbc3","When I go home I'm making a gingerbread house 🎅 ",0
"R/5488929a19b18a55f22ae33a7811b","I'm donezos",0
"R/548a3e1c9e003d1a7afc5b891b965","RLK is an abomination unto the earth",0
"R/547b151366a5c27f70407c8654284","I hate when I can't bring myself to do an important assignment just because of how excruciatingly easy it's going to be.",0
"R/547c09a3921b93989b115f6588086","Anyone know when towsleys calc test is?",0
"R/547ebe4c6c9a371c2fee48b5b5a51","Do lesbians watch straight porn like guys watch lesbian porn?",0
"R/54713d10129c7a4df9f7ce45585e2","Idle Hour was crazy last night!",0
"R/5473c0851c12b8cc32648aad43b9c","I will always remember you. Thanks the laughter ",0
"R/5472785b68f28efc1e24c365d0d59","I'm in love with 2 people",0
"R/547352e5e2b5af83bf20e76ea94e4","This is the last night you'll be alone look me in the eyes so I know you know. I'm everywhere you want me to be . The last night you'll spend alone I'm everything you need me to be",0
"R/5476a33f80c005cdf804e2078c670","#whitelivesmatter ",0
"R/5489d40111bc3d6810d9a86546231","I think I'm succumbing to depression as everything feels unnecessary and meaningless to me.",0
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities",0
"R/5470fe655fa0840cb914186c52bb1","Its so cold in my house I'm actively steaming",0
"R/5475daceeea48a3e4792b3359dd74","Dedication is driving to work with a flat tire so you can get to work on time...",0
"R/548a16fe92d4eee8c9cdc902c69bf","I'm tired and I want to take a nap but me lying under my covers with my eyes closed is not a big enough hint for our friend to close the door be quiet  or leave",0
"R/54816479cf8e0b03c3ccf3ce311e3","I have  feeling for prack but she just brushes me of when I ask to hangout. Why can't you justnbe straight with me. I'm tired of feeling like a mistake with the one girl I've actually felt something 4",0
"R/5482bd93a12aa46e1bdcab2bb6ea4","Facebook is Twitter",0
"R/5473d170da64d7ff01550cc10d88e","I wonder if people are actually gonna show up to Strangs Micro tomorrow",0
"R/547e98380d8ff3e4a753f74374dac","I'm into this indian guy but feel weird about it.",0
"R/547419b88b056684667ae0fd3404a","Why are you so mysterious? One day I think you like me and the next day it feels like you hate me to death. ",0
"R/547503f2859b965c4bc71cf45e8a4","CANT STOP THE BUS #GOBBLE",0
"R/548bf5fd8b60e702aeaed372458a3","Who isn't lonely at 3 am? ",0
"R/547150b97ffcdececed3236cdad5f","Anybody know where the chowhound is?",0
"R/5481f33a181939283ee57f97e7bed","Would you eat a quarter sized piece of poo for $10000?",0
"R/547e4b45a4e24e0ee944c051119a6","I think the greatest super power would be to be able to act like you give a shit when you really don't...",0
"R/54750905284900596617090137197","The driver on the westbury bus is the shit 😍",0
"R/547ecdcf2f3d3efff98efd196db71","Gramatik",0
"R/547e55e25891229782a9c9ff48eb9","Girls are literally the worst although it's not like guys are much better though when you think about it..",0
"R/548bebede16620d6c6d51b222f567","Fuck you",0
"R/548537c9a86253e0cf02216a8ed19","I would fuck a professor for good grades ",0
"R/547ea9087b6142b6df403c1d17bca","Could use a quickie rn. Ladies hmu ",0
"R/54873ae7a3b64bdf642124530e323","These guys seem pretty butt hurt",0
"R/547154c790cdf9bcba3bdefb2beea","Free forties outside Zbxi ",0
"R/54875e5a5718c55889707f2fc61e6","Chocolate and Netflix is the only cure when you're fed up with finals!!!",0
"R/548594dfb2980ca0138a0872342b1","I thought I'm in love with the coco was seriously about chocolate milk. But then again I never understood why he has baking soda 😒😒",0
"R/547502f1ee605881c4396d6df3a64","Got to get that pre bus shit ",0
"R/548541f33a5cb857ca0ee3d49cee5","BAKING SODA I GOT BAKING SODA ",0
"R/5474eb68e507c9b0b4ca32f8576fb","Anyone wanna trade a 6:00 westbury bus ticket for a 6:00 huntington bus ticket??",0
"R/54761989ee488d1660467638b6784","Kegger at lous",0
"R/54755de547ff68c5a64bfe40a0fe5","Might be stuck here until Thursday 💁🔫",0
"R/54813e14daf0d6b99a75815b795cb","I need to get a 133.7% on my Chem final to get an A...",0
"R/54839da51eceb53017e39ad9f507c","Why is daga fire alarm going off",0
"R/5489788edf18e5499a9d70ef43d52","I have to be up in an hour anyways... To sleep or not to sleep? ",0
"R/548a7bb88dc3c042b2bb16bf2bf42","Would you agree to the ability to fly if it meant you had to shit your pants everytime you took off....you cant wear a diaper and you cant be naked during take-off",0
"R/54895af9e2a754f62ec48ff086c78","There are people who use their phone in the bathroom and there are people who lie",0
"R/548211c984438e25fe9239a13d311","Your grade on an undergrad  exam is more important than the systematic oppression of a people? Get a grip.",0
"R/547fd497ac6764aacf7b67ed41ea5","This MAC exam tmrw got me like 😭😭😭😭",0
"R/548b9d1eaaa4e562a1c581d1c8f28","I just want a guy I can hardcore jam to fall out boy with. ",0
"R/548cb889c993e08fed8f27d90bd44","Your voice is ugly. Stop.",0
"R/54824fcbab86692808bfd36098233","Does anyone know where chowhound is rn?",0
"R/54739380b5bae5bbbe7ee9c96e9b0","So many people on yik yak yet no one knows when you double tap the up vote",0
"R/5484ecdb30610c63c7dbb1d048a3c","Any girls just wanna hook up right now I need to blow off stress?",0
"R/5488929a19b18a55f22ae33a7811b","I'm donezos",0
"R/5474286947ea9f5576bb659e59f87","Why is it wrong and insensitive to assume that a violent person may have done something to invoke more violence?",0
"R/5477cb0845d2e9e02fcf972f4b556","Raise your hand if you're all alone in the meadows 🙋",0
"R/547c7b45e478bba4370e89614a898","Like this shit ",0
"R/5473d170da64d7ff01550cc10d88e","I wonder if people are actually gonna show up to Strangs Micro tomorrow",0
"R/5489c29759e26e3397b333a2ab70d","Boucher said there's no curve. ",0
"R/54750905284900596617090137197","The driver on the westbury bus is the shit 😍",0
"R/54741874cae498c9ec8bd44324f76","Can someone fill me in on what is going on with furguseon? ",0
"R/5486b233c700bd1477c1a33fb5215","doesnt matter if hockey lost or not they are still hot and funny and athletic... does anyone really want to back up um DK?",0
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities",0
"R/547397e22cb9b8600fb353f65ef91","What would happen if u folded the universe up in a tube?",0
"R/548672f0a688b399f8b40950def4c","I'm very close to petitioning administration to ban yik yak like we are preschoolers expressing opinions is fine but mocking specific people really just isn't this crosses the line  ",0
"R/548371f584232b16ec2c6cf3e55cd","Crows have vaginas ",0
"R/54761989ee488d1660467638b6784","Kegger at lous",0
"R/5482a2c50355e069bc5940860d9ec","No tindr I will not allow down",0
"R/547bb0bca89bed9f74793cafa73e9","I don't know what the hell I was thinking when I added that girl with the bf on snap chat. It's like a painful reminder. ",0
"R/548a8d493128bcdbb9b7b8d74c157","Fuck. I'm so pissed right now",0
"R/54750905284900596617090137197","The driver on the westbury bus is the shit 😍",0
"R/5470fa564f7b73611c4dbe70373b5","Note to self: don't take a steaming hot shower with an uncovered third degree burn. Also learn how to work a curling iron you moron. Damn fool. ",0
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??",0
"R/547f2526c289378603963b05737e7","Woken up by a vacuum cleaner WTF",0
"R/547a86c7d9cf14d5233069a2cd9f5","The airport yaks were bringing back the good ole days of A/S/L ...glad to be home in Geneseo lol",0
"R/547cdd9af0c75d703b75e6e56b2cc","Would someone be so kond enough to share the simplest way to calculate your GPA in a hypothetical scenario? ",0
"R/547cec553f16114dba672ea5a709e","Letch is fire tonight ",0
"R/547154c790cdf9bcba3bdefb2beea","Free forties outside Zbxi ",0
"R/5488dab5cd0ebc50a31fd6e83a0fe","Whenever I drive my friends somewhere and need to brush snow off the car I never unlock their doors until I'm done. If I'm going to have to stand out here in the cold so are you! ",0
"R/547c0745ef36facd3f9068f616760","She's single again... Gonna give it a week tops and swooce in for the rebound. ",0
"R/547603b89f1d1b0bd9cacab8728f5","Who's at the Union?",0
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities",0
"R/547503f2859b965c4bc71cf45e8a4","CANT STOP THE BUS #GOBBLE",0
"R/54810bf7c7d0e2210cb351900b2b1","This cycle of work stressprocrastibation and unfinished work is ridiculous right now ",0
"R/547dda34f01ed44fba8290cbfeb27","Grandma got a rack",0
"R/548145fac88a85a6c53b9deb43329","Which is more important to guys face or body?",0
"R/5474f1c35a1be3d265c58dd8cf60e","Things at geneseo go miraculously wrong..:",0
"R/54892f3cbba1a9442d9ef94cc5679","How hard is it to get into Geneseo Bhangra?",0
"R/548c06257882ef3ec696e4f4dd779","Can't sleep and I can't stop thinking about you",0
"R/5476a33f80c005cdf804e2078c670","#whitelivesmatter ",0
"R/54814bc28fd48f7e092ea1830f579","Who's down to trade a smoke up for some brews?",0
"R/54761b549e5588aff25e7c2adea11","Is the library open? I need to print something out. Can't find a computer/printer at the Union lol",0
"R/547f9a4aecc63c648366c2d030b43","I'm undeclared can I participate in the j.o. Games? ",0
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??",0
"R/548ba53f829215b89287406606878","What party should I go to?",0
"R/5484be5e29e0892e998fa844a0077","Somebody come shop at the store I work at it's so slow here today! And if you don't wanna shop just come chat with me! ",0
"R/54809c55ebe687d279b51bbd08e53","Studying conifers for plant diversity lab and can only think about Christmas trees",0
"R/547ea7871a1e267555b27e98a999b","Guys the annex was totally legal",0
"R/5482124faa54afb1491822c838f5b","What did people who took Johnsons Orgo 1 test generally think?",0
"R/5484bf29846844c20bfe94d208cdf","Has anyone started their paper for Anthro 288 ethnomedicine with medeiros? Cause I'm fucked",0
"R/5489c29759e26e3397b333a2ab70d","Boucher said there's no curve. ",0
"R/54854f68488ecdbddd3fef46e043f","Wutttt free coffee",0
"R/547603b89f1d1b0bd9cacab8728f5","Who's at the Union?",0
"R/5488630a22902b6e2c2a5419310d6","Study buddy needed. Apply inside. ",0
"R/548b12a650dc719986203b0dea5f1","No CIT this is the worst possible time to make me change my password cuz I'm gonna forget it over break!!!",0
"R/548ae882b6a1486609044e339549c","The macroecon exam is in the same room we have for classes?",0
"R/547588ca85d9ef42908d10c5e216e","Who's got weed in this bitch???  ",0
"R/5481f5b1b6376f751ca4eaa416ed7","Ironic that all the people criticizing the protest are writing on an ANONYMOUS platform. If you really disagree with us show us your name & face.",0
"R/548cbe0edbdd23b2120960cedff14","I'm not going to call him dad. Not even if there's a fire",0
"R/54828b64d6f670c5cbcf9293e8200","How was everyone's day today",0
"R/547df72c6f31deeb64e97e9335d01","I'm pretty sure the natzi's side project was Cas ",0
"R/548c66a36e500bbbf8346964675ee","Bought a new crib just to slit my neck bought a new car just to slit my neck. ",0
"R/5482d60a01896cbbac170504ff00b","Fuck is u sayin bitch my hood love me",0
"R/5477cb0845d2e9e02fcf972f4b556","Raise your hand if you're all alone in the meadows 🙋",0
"R/54807259492834e04a07738c5397a","My theme song",0
"R/54761989ee488d1660467638b6784","Kegger at lous",0
"R/548426c42c7b3f2813c98de4f82a9","You have about as much heart as a fleshlight ",0
"R/5486194e44968f8bc1550c2823858","Don't like it? Too bad. They will CONTINUE to happen. And with that I am done arguing with ignorant people that can only be nasty when a screen and an anonymous network hides their identity.",0
"R/5488e8c3c452c3c2a5aa27aecdbbd","Is uncle Vito's not doing their thing today?",0
"R/5477e50320fdebe9b288c9ab833f1","Wish I didn't lose all my contacts now I can't text my fuck buddy",0
"R/5477e1d630b7d932840c09134ff59","how wanna fuck? (; ",0
"R/548b7dea4615ca71252205462c7da","Its no secret that many guys don't want to date an over weight girl. That's why I'm so impressed by guys that ask me out. Means they don't care about what's on the outside. just my twisted view",0
"R/54761b549e5588aff25e7c2adea11","Is the library open? I need to print something out. Can't find a computer/printer at the Union lol",0
"R/548bd229252a9baab6830c40154b9","Too. Much. Sex.",0
"R/54854fcd0622189f60da4dd1a0695","That HD porn on the iPad Air 2 tho... >>>",0
"R/54892f7980920c123bc39066f7352","I wish things could go back to the way they were. ",0
"R/5473cdd3d35b09f465f2056d0b8ec","I don't know bout y'all but my life plan so far is to hang out and wait for the world to end. No sense in getting a job just to have the planet die. ",0
"R/547e37981ececd42118e15306ce52","I'm allowed to drink on a Tuesday the beasty boys fought for that sort of thing",0
"R/548939b65252377618b9542171dc1","Finals whoremones at an all time high",0
"R/5486ac1873ebd0f552d9b682904d5","Who wants to cuddle?",0
"R/54854f68488ecdbddd3fef46e043f","Wutttt free coffee",0
"R/547502f1ee605881c4396d6df3a64","Got to get that pre bus shit ",0
"R/5474aafb24270edd77011a3a178f7","So as Geneseo's only student from St. Louis I can honestly say I am not looking forward to going home over break ",0
"R/5480224df30d4b378750fce4a43a2","Ladies! You know that guy you've always thought was cute? GO OUT AND TALK TO HIM THIS WEEEKEND!!",0
"R/5471b280d4585f4e3df4927b68e36","5am solo dolos",0
"R/547bdee0a49ddee192148946fb8d3","Came back to find moldy meatballs in my fridge. Black white and fuzzy. Solution: flush it down the toilet. No one will ever know. ",0
"R/54728b93b49937a4c2cffcb3e51ea","I forgot about you stumbleupon! Looks like I will now forget about you homework!",0
"R/5486b28a2983ea80e610d9f8ae2db","Rush DK if u r better than shit. Oh wait shit beats DK nice!",0
"R/54750905284900596617090137197","The driver on the westbury bus is the shit 😍",0
"R/547e13a58fad8b4b748f2e37fa777","Lei Gao is so fucking Asian it's not even funny",0
"R/547a474c3434cdef837c7959e709a","uhots isn't delivering until tomorrow....I want to cry.",0
"R/547d2455ec33258c016c4551e4828","Omegle partyyy @geneseo.edu",0
"R/5474bfb682fc7cde83ba8c7d27dc9","I can't wait to go home and jerk off ",0
"R/5486ac1873ebd0f552d9b682904d5","Who wants to cuddle?",0
"R/54829ba05e3a92a27cd4036625c59","One a king always a king",0
"R/54827771510a7276bddd5a7beb613","How long does it take for Vito's to deliver?",0
"R/5485aefb98c91ba850e07476909d6","Woke up with a rash covering my body. Happy finals!!",0
"R/547d46aa4d45e840c85a0baafe5a0","Cuz we're not socks ",0
"R/5474a99fa8a3ac3ee48dbcb12d4fd","I don't wanna go home",0
"R/54755de547ff68c5a64bfe40a0fe5","Might be stuck here until Thursday 💁🔫",0
"R/5474f1c35a1be3d265c58dd8cf60e","Things at geneseo go miraculously wrong..:",0
"R/547f1d62d87f08f7b2e273b75947c","Who knew way to much addy resulted in neon green explosive poops. Not this guy. ",0
"R/5482b712eb962720c5506465dd85e","Any girl on south side wanna come cuddle ",0
"R/547d46aa4d45e840c85a0baafe5a0","Cuz we're not socks ",0
"R/547516a974d7268b00ed8cd9a033c","*waits to do laundry and all the machines are taken*",0
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities",0
"R/5486b28a2983ea80e610d9f8ae2db","Rush DK if u r better than shit. Oh wait shit beats DK nice!",0
"R/54750feed2de1e2e42bf204097857","Lets get cocked!",0
"R/54761989ee488d1660467638b6784","Kegger at lous",0
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities",0
"R/547502f1ee605881c4396d6df3a64","Got to get that pre bus shit ",0
"R/548a6a0c93030b6c45a14e78a805f","What are these RLK jokes based off lol?",0
"R/547154c790cdf9bcba3bdefb2beea","Free forties outside Zbxi ",0
"R/547502f1ee605881c4396d6df3a64","Got to get that pre bus shit ",0
"R/54814bc28fd48f7e092ea1830f579","Who's down to trade a smoke up for some brews?",0
"R/547503f2859b965c4bc71cf45e8a4","CANT STOP THE BUS #GOBBLE",0
"R/548cc6c88fa3a1348460d7497b23a","How do I find a guy to hookup with within a matter of hours?",0
"R/54827a7c3b5a89d442ddb86582adc","Raunchy I like",0
"R/54835dcabcf9bbbd01383395e7c36","Man rn I feel like going on a rampage of spite and maybe ruin some random peoples lives to show I can",0
"R/54761989ee488d1660467638b6784","Kegger at lous",0
"R/54738779a20ccfbed3033a48cbed6","Why do professors think it's okay to only post half of the class's grade ",0
"R/54852b007c4ed56b1d1f83e13bf46","There's no more toilet paper in both the stallsT^T",0
"R/547b92a64a0c67509c126dab5c539","roommates dad tells me to be good. *turns to roommate What did you tell them?",0
"R/547dd64b68e2e7c7c62e983840958","When dumb people talk in class I get really pissed off",0
"R/547d2455ec33258c016c4551e4828","Omegle partyyy @geneseo.edu",0
"R/54828b64d6f670c5cbcf9293e8200","How was everyone's day today",0
